seed,update,parameter_id,parameter_name,shape,selection,paired_diagonal_budget,paired_cross_budget,raw_l2_improvement,correction_budget,update_cosine_gain,update_l2_reduction
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",cross,0.01,0.005,1.1101365089416504e-05,0.005,3.36766242980957e-05,2.950429916381836e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",diagonal,0.02,0.02,4.3585896492004395e-05,0.02,0.002335190773010254,0.002602994441986084
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",cross,0.02,0.02,4.404783248901367e-05,0.02,9.876489639282227e-05,6.03795051574707e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",diagonal,0.05,0.02,9.743869304656982e-05,0.05,0.004771113395690918,0.005337119102478027
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",cross,0.05,0.02,4.404783248901367e-05,0.02,9.876489639282227e-05,6.03795051574707e-05
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",diagonal,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",cross,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",diagonal,0.0025,0.001,0.0,0.0025,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",cross,0.0025,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",diagonal,0.005,0.001,0.0,0.005,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",cross,0.005,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",diagonal,0.01,0.001,0.0,0.01,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",cross,0.01,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",diagonal,0.02,0.001,0.0,0.02,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",cross,0.02,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",diagonal,0.05,0.001,0.0,0.05,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",cross,0.05,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",diagonal,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",cross,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",diagonal,0.0025,0.001,0.0,0.0025,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",cross,0.0025,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",diagonal,0.005,0.001,0.0,0.005,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",cross,0.005,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",diagonal,0.01,0.001,0.0,0.01,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",cross,0.01,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",diagonal,0.02,0.001,0.0,0.02,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",cross,0.02,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",diagonal,0.05,0.001,0.0,0.05,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",cross,0.05,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",diagonal,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",cross,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",diagonal,0.0025,0.001,0.0,0.0025,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",cross,0.0025,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",diagonal,0.005,0.001,0.0,0.005,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",cross,0.005,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",diagonal,0.01,0.001,0.0,0.01,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",cross,0.01,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",diagonal,0.02,0.001,0.0,0.02,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",cross,0.02,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",diagonal,0.05,0.001,0.0,0.05,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",cross,0.05,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",diagonal,0.001,0.001,2.7567148208618164e-07,0.001,4.267692565917969e-05,4.83393669128418e-05
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",cross,0.001,0.001,4.991888999938965e-07,0.001,3.2782554626464844e-06,6.556510925292969e-07
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",diagonal,0.0025,0.001,5.401670932769775e-07,0.0025,0.0001036524772644043,0.0001189112663269043
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",cross,0.0025,0.001,4.991888999938965e-07,0.001,3.2782554626464844e-06,6.556510925292969e-07
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",diagonal,0.005,0.001,8.270144462585449e-07,0.005,0.00019925832748413086,0.0002300739288330078
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",cross,0.005,0.001,4.991888999938965e-07,0.001,3.2782554626464844e-06,6.556510925292969e-07
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",diagonal,0.01,0.005,2.2649765014648438e-06,0.01,0.0007903575897216797,0.0008469223976135254
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",cross,0.01,0.005,2.045184373855591e-06,0.005,1.055002212524414e-05,2.0265579223632812e-06
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",diagonal,0.02,0.02,7.893890142440796e-06,0.02,0.0016335248947143555,0.0017343759536743164
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",cross,0.02,0.02,8.508563041687012e-06,0.02,-6.258487701416016e-06,-2.658367156982422e-05
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",diagonal,0.05,0.02,1.772865653038025e-05,0.05,0.0024957656860351562,0.0024943947792053223
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",cross,0.05,0.02,8.508563041687012e-06,0.02,-6.258487701416016e-06,-2.658367156982422e-05
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",diagonal,0.001,0.001,1.1473894119262695e-06,0.001,5.97834587097168e-05,6.026029586791992e-05
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",cross,0.001,0.001,1.862645149230957e-06,0.001,4.172325134277344e-07,-7.748603820800781e-07
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",diagonal,0.0025,0.001,2.652406692504883e-06,0.0025,0.00014966726303100586,0.00014919042587280273
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",cross,0.0025,0.001,1.862645149230957e-06,0.001,4.172325134277344e-07,-7.748603820800781e-07
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",diagonal,0.005,0.0025,4.172325134277344e-06,0.005,0.0002968311309814453,0.0002950429916381836
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",cross,0.005,0.0025,4.187226295471191e-06,0.0025,9.5367431640625e-07,-1.3709068298339844e-06
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",diagonal,0.01,0.01,1.0520219802856445e-05,0.01,0.0006854534149169922,0.0006794333457946777
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",cross,0.01,0.01,1.0475516319274902e-05,0.01,1.9073486328125e-06,-5.125999450683594e-06
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",diagonal,0.02,0.02,3.643333911895752e-05,0.02,0.00021779537200927734,0.00010007619857788086
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",cross,0.02,0.02,3.966689109802246e-05,0.02,8.046627044677734e-05,0.00013113021850585938
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",diagonal,0.05,0.02,0.0001027137041091919,0.05,0.0016369819641113281,0.0015145540237426758
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",cross,0.05,0.02,3.966689109802246e-05,0.02,8.046627044677734e-05,0.00013113021850585938
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",diagonal,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",cross,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",diagonal,0.0025,0.001,0.0,0.0025,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",cross,0.0025,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",diagonal,0.005,0.001,0.0,0.005,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",cross,0.005,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",diagonal,0.01,0.001,0.0,0.01,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",cross,0.01,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",diagonal,0.02,0.001,0.0,0.02,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",cross,0.02,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",diagonal,0.05,0.001,0.0,0.05,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",cross,0.05,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",diagonal,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",cross,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",diagonal,0.0025,0.001,0.0,0.0025,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",cross,0.0025,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",diagonal,0.005,0.001,0.0,0.005,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",cross,0.005,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",diagonal,0.01,0.001,0.0,0.01,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",cross,0.01,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",diagonal,0.02,0.001,0.0,0.02,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",cross,0.02,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",diagonal,0.05,0.001,0.0,0.05,0.0,0.0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",cross,0.05,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",diagonal,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",cross,0.001,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",diagonal,0.0025,0.001,0.0,0.0025,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",cross,0.0025,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",diagonal,0.005,0.001,0.0,0.005,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",cross,0.005,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",diagonal,0.01,0.001,0.0,0.01,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",cross,0.01,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",diagonal,0.02,0.001,0.0,0.02,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",cross,0.02,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",diagonal,0.05,0.001,0.0,0.05,0.0,0.0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",cross,0.05,0.001,0.0,0.001,0.0,0.0
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",diagonal,0.001,0.001,2.4959444999694824e-07,0.001,6.0558319091796875e-05,5.9723854064941406e-05
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",cross,0.001,0.001,4.3213367462158203e-07,0.001,1.0728836059570312e-06,5.960464477539062e-07
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",diagonal,0.0025,0.001,5.513429641723633e-07,0.0025,0.00014841556549072266,0.00014603137969970703
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",cross,0.0025,0.001,4.3213367462158203e-07,0.001,1.0728836059570312e-06,5.960464477539062e-07
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",diagonal,0.005,0.0025,9.052455425262451e-07,0.005,0.00028711557388305664,0.00028377771377563477
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",cross,0.005,0.0025,9.98377799987793e-07,0.0025,2.205371856689453e-06,-5.960464477539063e-08
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",diagonal,0.01,0.005,1.866370439529419e-06,0.01,0.0007686018943786621,0.0007598400115966797
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",cross,0.01,0.005,1.8253922462463379e-06,0.005,3.5762786865234375e-07,-2.205371856689453e-06
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",diagonal,0.02,0.02,6.940215826034546e-06,0.02,0.0028215646743774414,0.002788245677947998
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",cross,0.02,0.02,7.506459951400757e-06,0.02,-3.325939178466797e-05,-3.6716461181640625e-05
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",diagonal,0.05,0.02,2.3305416107177734e-05,0.05,0.0076277852058410645,0.007476091384887695
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",cross,0.05,0.02,7.506459951400757e-06,0.02,-3.325939178466797e-05,-3.6716461181640625e-05
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",diagonal,0.001,0.001,1.1920928955078125e-06,0.001,5.0961971282958984e-05,5.4717063903808594e-05
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",cross,0.001,0.001,1.5795230865478516e-06,0.001,4.231929779052734e-06,2.6226043701171875e-06
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",diagonal,0.0025,0.001,2.7418136596679688e-06,0.0025,0.0001245737075805664,0.0001329183578491211
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",cross,0.0025,0.001,1.5795230865478516e-06,0.001,4.231929779052734e-06,2.6226043701171875e-06
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",diagonal,0.005,0.0025,4.51505184173584e-06,0.005,0.00024169683456420898,0.0002573728561401367
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",cross,0.005,0.0025,4.023313522338867e-06,0.0025,9.655952453613281e-06,5.841255187988281e-06
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",diagonal,0.01,0.01,8.940696716308594e-06,0.01,0.00025147199630737305,0.0002846717834472656
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",cross,0.01,0.01,1.0251998901367188e-05,0.01,3.057718276977539e-05,1.3947486877441406e-05
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",diagonal,0.02,0.02,3.057718276977539e-05,0.02,0.0011584162712097168,0.0012867450714111328
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",cross,0.02,0.02,3.053247928619385e-05,0.02,7.653236389160156e-05,9.298324584960938e-06
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",diagonal,0.05,0.02,8.448958396911621e-05,0.05,0.005556643009185791,0.005927920341491699
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",cross,0.05,0.02,3.053247928619385e-05,0.02,7.653236389160156e-05,9.298324584960938e-06
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",diagonal,0.001,0.001,7.450580596923828e-08,0.001,3.1888484954833984e-05,5.5909156799316406e-05
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",cross,0.001,0.001,1.341104507446289e-07,0.001,-2.384185791015625e-07,-7.748603820800781e-07
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",diagonal,0.0025,0.001,1.2665987014770508e-07,0.0025,7.82012939453125e-05,0.00013631582260131836
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",cross,0.0025,0.001,1.341104507446289e-07,0.001,-2.384185791015625e-07,-7.748603820800781e-07
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",diagonal,0.005,0.001,2.2351741790771484e-07,0.005,0.00015032291412353516,0.00026291608810424805
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",cross,0.005,0.001,1.341104507446289e-07,0.001,-2.384185791015625e-07,-7.748603820800781e-07
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",diagonal,0.01,0.01,8.791685104370117e-07,0.01,0.00077056884765625,0.0013337135314941406
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",cross,0.01,0.01,9.052455425262451e-07,0.01,-5.662441253662109e-06,-9.715557098388672e-06
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",diagonal,0.02,0.01,1.4007091522216797e-06,0.02,0.001297295093536377,0.0022521018981933594
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",cross,0.02,0.01,9.052455425262451e-07,0.01,-5.662441253662109e-06,-9.715557098388672e-06
