seed,update,parameter_id,method,i,j,sigma_i,sigma_j,sigma_sum,spectral_gap,skew_error_abs,gap_proxy,sigma_sum_proxy,finite_k_orientation_proxy
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,3,328,0.08249188214540482,0.0007417589658871293,0.08323363959789276,0.08175012469291687,0.00010490205447168489,12.232397470571001,24.02874574867864,19.934780305068575
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,4,96,0.06584527343511581,0.006416665390133858,0.07226193696260452,0.059428609907627106,1.5168988628542483e-05,16.826912709163448,27.677087447606134,21.024719098025788
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,4,243,0.06584527343511581,0.0015108298975974321,0.06735610216856003,0.0643344447016716,0.00015385546170808956,15.543773210952276,29.69292908945117,29.89973585519497
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,5,12,0.06241987273097038,0.03590862825512886,0.09832850098609924,0.026511244475841522,3.711740219747105e-05,37.719843778410855,20.33998260873255,17.30535101847605
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,5,159,0.06241987273097038,0.003367266384884715,0.06578713655471802,0.05905260518193245,7.150522887710347e-05,16.934053581638153,30.401078795627214,25.108222531167364
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,5,306,0.06241987273097038,0.0008825853583402932,0.06330245733261108,0.06153728812932968,2.526603187388487e-05,16.250310059080853,31.594349735649875,31.373484515197333
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,6,76,0.048317376524209976,0.008083323016762733,0.05640070140361786,0.040234051644802094,5.525597527472129e-05,24.854567532324378,35.46055308315963,29.937127472354266
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,6,223,0.048317376524209976,0.0018384158611297607,0.05015579238533974,0.046478960663080215,3.5263334431926594e-05,21.515111046670484,39.87575322575482,38.55734571855914
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,6,370,0.048317376524209976,0.0005149588105268776,0.04883233457803726,0.04780241847038269,1.920415817292744e-05,20.919443991088283,40.95646841975426,31.09066518600395
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,7,141,0.04744744300842285,0.004027802962809801,0.051475245505571365,0.04341964051127434,9.042982129204618e-05,23.031052283010258,38.853626869849556,31.625998203615946
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,7,288,0.04744744300842285,0.00103690882679075,0.048484351485967636,0.04641053453087807,2.15133701669131e-05,21.546832365393673,41.25042254452547,39.376978666676
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,8,60,0.04594850912690163,0.010082688182592392,0.05603119730949402,0.035865820944309235,3.7711808943913515e-05,27.881698332034645,35.69440054890843,32.939773829516234
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,8,207,0.04594850912690163,0.0021260997746139765,0.04807461053133011,0.043822407722473145,3.1575272404551195e-05,22.819375173122406,41.602002506086905,35.417007383983844
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,8,354,0.04594850912690163,0.0005914474604651332,0.04653995484113693,0.04535706341266632,3.789073971675084e-06,22.047283559816314,42.97382607664268,32.21503678172877
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,127,0.042894117534160614,0.004554784391075373,0.04744890332221985,0.03833933174610138,3.057354191721677e-05,26.08287411437037,42.150606628396766,34.106049987883786
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,274,0.042894117534160614,0.0011473220074549317,0.04404143989086151,0.04174679517745972,0.00014237846351636342,23.953934365101002,45.411776291057976,41.953520867664835
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,10,48,0.038322366774082184,0.012247614562511444,0.05056998133659363,0.02607475221157074,3.8759293675868955e-06,38.35127528292474,39.54915440225312,36.173983132421064
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,10,195,0.038322366774082184,0.002371086273342371,0.04069345444440842,0.03595127910375595,2.5356674336337094e-06,27.81542092720235,49.147955020410286,39.60348301451035
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,10,342,0.038322366774082184,0.0006607425748370588,0.03898311033844948,0.03766162320971489,0.0001884891560476251,26.552227134698125,51.30427083429782,40.8419661881117
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,11,117,0.03726444020867348,0.00507535832002759,0.04233979806303978,0.032189082354307175,0.00013156289642386962,31.066434372355673,47.23688041746942,39.78632016073634
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,11,264,0.03726444020867348,0.0012549718376249075,0.03851941227912903,0.036009468138217926,2.9022264009613658e-05,27.77047385692578,51.92187247292615,50.46380256487154
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,12,40,0.03590862825512886,0.01432735938578844,0.05023598670959473,0.021581269800662994,1.0840165009004986e-05,46.33647845519672,39.81209674418736,32.061934310827695
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,12,187,0.03590862825512886,0.002569650299847126,0.03847827762365341,0.03333897888660431,3.962382189687705e-05,29.994920700368226,51.977377240057464,39.790324572186535
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,12,334,0.03590862825512886,0.0007052191649563611,0.03661384806036949,0.03520340844988823,4.8503406821330075e-05,28.40633977915404,54.62414198249108,44.603178300884245
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,13,111,0.033797331154346466,0.005405115894973278,0.03920244798064232,0.028392214328050613,1.56410789869412e-05,35.22092203319245,51.0172234269928,40.64177375529868
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,13,258,0.033797331154346466,0.0013221136759966612,0.035119444131851196,0.032475218176841736,0.00018922060449559077,30.7927114165338,56.94850843063453,54.39638106919692
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,14,36,0.03262200579047203,0.015428511425852776,0.04805051535367966,0.017193494364619255,0.00011083726102779521,58.161533588995056,41.62286101928815,30.57953586988381
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,14,183,0.03262200579047203,0.0026713924016803503,0.035293396562337875,0.029950613155961037,4.0565639637541435e-05,33.38829782946037,56.667821815035865,40.82406335720476
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,14,330,0.03262200579047203,0.0007292841910384595,0.033351290971040726,0.031892720609903336,0.00011133336588323419,31.3551164607338,59.96769543573197,47.912046052974404
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,15,109,0.028972681611776352,0.005591143388301134,0.0345638245344162,0.023381538689136505,2.0846324089741843e-05,42.7687858019535,57.863966155236476,47.11652374995332
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,15,256,0.028972681611776352,0.0013579741353169084,0.030330656096339226,0.027614707127213478,8.09424899585835e-05,36.21258710969379,65.9398865846041,65.43906067928803
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,16,36,0.028290502727031708,0.015428511425852776,0.04371901601552963,0.012861991301178932,5.863504629337369e-05,77.74845874047044,45.746685709930276,37.063320273023464
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,16,183,0.028290502727031708,0.0026713924016803503,0.0309618953615427,0.025619110092520714,3.365018234439198e-05,39.033361709303826,64.5955291717699,51.41252581782226
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,16,330,0.028290502727031708,0.0007292841910384595,0.029019786044955254,0.027561219409108162,7.801741129107717e-05,36.28286603852663,68.9184936349285,60.267081052112324
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,17,111,0.027816295623779297,0.005405115894973278,0.03322141245007515,0.022411178797483444,5.240854938351179e-05,44.62058722926837,60.202137975716504,53.164533901241285
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,17,258,0.027816295623779297,0.0013221136759966612,0.029138408601284027,0.026494182646274567,0.00015134305102721267,37.74413574915803,68.63792664259739,71.49719663143314
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,18,40,0.02665140852332115,0.01432735938578844,0.04097876697778702,0.012324049137532711,4.104942485568451e-05,81.14216268048743,48.8057621555625,45.26381769225348
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,18,187,0.02665140852332115,0.002569650299847126,0.029221057891845703,0.0240817591547966,0.00019701445522450232,41.52520720124315,68.44378953216696,60.75261500731202
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,18,334,0.02665140852332115,0.0007052191649563611,0.027356628328561783,0.02594618871808052,0.00010429753406360643,38.541305090630196,73.10842633052364,68.62273121742714
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,19,117,0.025287466123700142,0.00507535832002759,0.030362823978066444,0.02021210826933384,5.4402404517160334e-05,49.47529519005927,65.87002482943099,66.42106071472135
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,19,264,0.025287466123700142,0.0012549718376249075,0.026542438194155693,0.02403249405324459,1.561468283691856e-05,41.610329252399495,75.35102852700258,85.75030800784073
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,20,48,0.024047547951340675,0.012247614562511444,0.03629516065120697,0.011799933388829231,5.6192216929164586e-05,84.74624110562189,55.10376208500778,60.863527314858516
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,20,195,0.024047547951340675,0.002371086273342371,0.02641863375902176,0.02167646214365959,6.857480861445819e-05,46.13299046933495,75.70414060736687,75.37620691561791
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,20,342,0.024047547951340675,0.0006607425748370588,0.02470828965306282,0.02338680624961853,2.866577353873199e-05,42.7591534585859,80.94449099507943,79.80644371285622
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,21,127,0.023405836895108223,0.004554784391075373,0.02796062082052231,0.018851052969694138,4.151960312601542e-05,53.04743593420408,71.5291688095742,74.00719346671472
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,21,274,0.023405836895108223,0.0011473220074549317,0.02455315925180912,0.022258514538407326,1.679700343632245e-05,44.9266271827819,81.45591400018252,93.62078215748605
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,22,60,0.02310926467180252,0.010082688182592392,0.03319195285439491,0.013026576489210129,2.555847868931531e-05,76.76614042287295,60.25556883541976,67.88318111071429
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,22,207,0.02310926467180252,0.0021260997746139765,0.025235364213585854,0.020983165130019188,0.00015973549590046852,47.657253083589225,79.25385837984228,83.61992010019156
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,22,354,0.02310926467180252,0.0005914474604651332,0.023700712248682976,0.022517817094922066,4.946642777918121e-05,44.409277800537204,84.38565005298187,80.45356539930634
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,23,141,0.021887918934226036,0.004027802962809801,0.02591572143137455,0.017860116437077522,1.894779089307864e-05,55.990677865721835,77.1732312897197,75.14345534279961
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,23,288,0.021887918934226036,0.00103690882679075,0.02292482741177082,0.02085101045668125,4.8377246046946524e-05,47.959307239672235,87.24165873127998,97.21373549867873
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,24,76,0.02057144045829773,0.008083323016762733,0.028654763475060463,0.012488117441534996,5.429720999774497e-05,80.07612073490266,69.79642326277411,65.81782311279966
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,24,223,0.02057144045829773,0.0018384158611297607,0.02240985631942749,0.01873302459716797,0.00010744052145767419,53.38166267881688,89.24644457743202,95.10964365240788
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,24,370,0.02057144045829773,0.0005149588105268776,0.021086398512125015,0.020056482404470444,1.1649738632701521e-05,49.85919352964599,94.84786731497205,81.3675672324117
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,25,159,0.020024985074996948,0.003367266384884715,0.023392250761389732,0.016657719388604164,8.106253799729987e-05,60.03223001920333,85.49839691275778,71.6417564788682
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,25,306,0.020024985074996948,0.0008825853583402932,0.02090756967663765,0.019142400473356247,4.3045095455181904e-05,52.24005426706535,95.65913009246586,96.14137372008395
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,26,96,0.019620921462774277,0.006416665390133858,0.026037586852908134,0.013204256072640419,0.00013830778498533948,75.73315713499585,76.81203374561649,62.98316898160802
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,26,243,0.019620921462774277,0.0015108298975974321,0.02113175205886364,0.018110090866684914,1.5530896448141954e-05,55.21783235612453,94.64430874151738,101.01256771536265
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,27,34,0.019333986565470695,0.015996119007468224,0.03533010557293892,0.003337867558002472,2.6082717139390967e-05,299.5924741239417,56.60894490878338,47.33237957643298
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,27,181,0.019333986565470695,0.002722253557294607,0.02205624058842659,0.0166117325425148,0.0001516699954106317,60.198415150774004,90.67728628578467,74.78369296499501
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,27,328,0.019333986565470695,0.0007417589658871293,0.02007574588060379,0.0185922272503376,1.2215582607958199e-05,53.78591643437058,99.62270127782048,91.25360911849464
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,28,120,0.01866973005235195,0.0049456702545285225,0.02361540123820305,0.013724059797823429,6.04967695412741e-05,72.86473643597759,84.690497472418,75.90931992715072
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,28,267,0.01866973005235195,0.0012276677880436182,0.019897397607564926,0.017442062497138977,9.200860675845642e-05,57.332670004641514,100.51565616985417,102.33354963660521
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,29,60,0.018152231350541115,0.010082688182592392,0.028234919533133507,0.008069543167948723,0.0001332750254666905,123.92275240212885,70.8342730586858,68.35198784916666
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,29,207,0.018152231350541115,0.0021260997746139765,0.020278330892324448,0.016026131808757782,2.7336928186810842e-05,62.39808997338451,98.62744560468379,88.11951424886576
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,29,354,0.018152231350541115,0.0005914474604651332,0.01874367892742157,0.01756078377366066,5.7674463315153614e-05,56.94506613483945,106.70263933596665,84.48417940406848
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,30,148,0.017652707174420357,0.0037491614930331707,0.021401869133114815,0.013903545215725899,0.00013196414994673435,71.92409928488313,93.44978380516187,72.52247276415935
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,30,295,0.017652707174420357,0.0009759071399457753,0.018628614023327827,0.016676800325512886,9.432921084254459e-05,59.96354204240514,107.36171602724242,100.42839483205641
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,31,90,0.017359137535095215,0.006956287194043398,0.024315424263477325,0.010402850806713104,7.116793401926887e-05,96.12750036918165,82.25231606188156,59.87972952144392
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,31,237,0.017359137535095215,0.001610145322047174,0.018969282507896423,0.015748992562294006,2.460050018362373e-05,63.49612638524895,105.4336115425129,102.56748180393473
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,32,33,0.01666080392897129,0.016415510326623917,0.033076316118240356,0.00024529360234737396,8.398426503485869e-06,4076.7471733072116,60.46622923416199,45.64255423481384
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,32,180,0.01666080392897129,0.0027456406969577074,0.01940644532442093,0.013915163464844227,5.9870926765142263e-05,71.86405098715437,103.05854774283566,76.583170198835
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,32,327,0.01666080392897129,0.0007437215535901487,0.017404524609446526,0.015917083248496056,5.6103143783908995e-05,62.82558426327517,114.91264165770627,96.32739155586178
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,33,124,0.016415510326623917,0.004730491898953915,0.021146003156900406,0.011685018427670002,0.00010094836796398293,85.57966820420329,94.5805253714026,80.41223783361177
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,33,271,0.016415510326623917,0.001180141232907772,0.017595652490854263,0.015235369093716145,5.286326417485427e-05,65.63674262492609,113.6644467659162,109.62001823247329
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,34,69,0.015996119007468224,0.008948936127126217,0.024945054203271866,0.007047182880342007,4.599939536822872e-05,141.90067392595736,80.17621084454325,71.16259783852966
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,34,216,0.015996119007468224,0.001958901295438409,0.01795502007007599,0.014037217944860458,3.6471671567691455e-05,71.23918859953321,111.38945911836322,100.99397002926642
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,34,363,0.015996119007468224,0.0005484238499775529,0.016544543206691742,0.015447694808244705,1.8231530737616753e-05,64.73457624615894,120.8857819301977,89.82259141877465
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,35,162,0.015660367906093597,0.003298030002042651,0.018958397209644318,0.012362337671220303,1.561935705469137e-05,80.89084829757934,105.49414616631047,76.97035750132352
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,35,309,0.015660367906093597,0.00086683698464185,0.0165272057056427,0.01479353103786707,2.783788641627837e-05,67.59711425957975,121.01259790886526,108.2953955841112
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,36,109,0.015428511425852776,0.005591143388301134,0.021019654348492622,0.009837368503212929,8.357334893011224e-05,101.6532060387245,95.14904110857563,77.33379888893423
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,36,256,0.015428511425852776,0.0013579741353169084,0.01678648591041565,0.014070536941289902,4.5029682640511025e-05,71.0704914355062,119.14346172771138,118.05997695361285
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,37,57,0.015068229287862778,0.010554978623986244,0.025623207911849022,0.0045132506638765335,9.22733555087031e-05,221.56978959840828,78.0542392225266,75.4678170205276
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,37,204,0.015068229287862778,0.0021959012374281883,0.01726413145661354,0.01287232805043459,5.6408765818074665e-05,77.68602509833009,115.84713154653889,101.05226667533375
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,37,351,0.015068229287862778,0.0006092395051382482,0.015677468851208687,0.014458989724516869,2.9784088826605923e-05,69.16112501820777,127.5716141685366,101.60334742447445
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,38,153,0.014667628332972527,0.0035745976492762566,0.01824222505092621,0.01109303068369627,3.3948251988067735e-05,90.14669016193449,109.63574302533955,85.70059526266131
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,38,300,0.014667628332972527,0.0009361280244775116,0.015603756532073021,0.013731500133872032,0.0001200740414010085,72.8252541626022,128.17426484905968,121.63548233857861
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,39,103,0.014388613402843475,0.00597058329731226,0.02035919576883316,0.008418030105531216,1.194400198869858e-05,118.79263764368487,98.23570298255929,79.8281019302391
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,39,250,0.014388613402843475,0.001421046326868236,0.01580965891480446,0.012967566959559917,3.972806171541127e-05,77.11546770038927,126.50493648774248,130.30030088010318
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,40,54,0.01432735938578844,0.011172736994922161,0.025500096380710602,0.0031546223908662796,2.49948684873503e-05,316.9951506384235,78.43107610812359,78.24588557237904
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,40,201,0.01432735938578844,0.0022456268779933453,0.0165729857981205,0.012081732973456383,7.001442160400965e-05,82.76958617936651,120.67831157084544,107.6742613033653
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,40,348,0.01432735938578844,0.0006201851065270603,0.014947544783353806,0.013707173988223076,8.511697529169153e-05,72.95449664727585,133.80124080100217,111.55083131022371
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,41,153,0.013896925374865532,0.0035745976492762566,0.017471522092819214,0.010322327725589275,8.110709075948022e-05,96.8773736490635,114.4719894903519,93.97292567422896
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,41,300,0.013896925374865532,0.0009361280244775116,0.014833053573966026,0.012960797175765038,1.1475343992823214e-05,77.15574690086964,134.83400525535626,133.24639820201716
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,42,106,0.013629164546728134,0.0057911984622478485,0.019420363008975983,0.007837966084480286,3.61491550163648e-05,127.58411930106065,102.98468669589808,89.83593601054392
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,42,253,0.013629164546728134,0.0014042042894288898,0.015033368952572346,0.012224960140883923,0.0001020283879735903,81.79985692819925,133.03737983130995,142.58601298999326
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,43,60,0.013378102332353592,0.010082688182592392,0.023460790514945984,0.0032954141497612,7.11793194112926e-05,303.45199557769223,85.2486193389722,89.06396694825423
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,43,207,0.013378102332353592,0.0021260997746139765,0.015504201874136925,0.011252002790570259,8.58261533125645e-05,88.87306902646912,128.99728642605882,125.547568926729
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,43,354,0.013378102332353592,0.0005914474604651332,0.013969549909234047,0.012786654755473137,6.096056373539133e-06,78.20653720767159,143.16853654282636,124.78158160898681
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,44,162,0.013237565755844116,0.003298030002042651,0.016535595059394836,0.009939535520970821,8.392107229524847e-05,100.6083206268,120.95119095095718,101.31426515244797
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,44,309,0.013237565755844116,0.00086683698464185,0.014104402624070644,0.012370728887617588,9.701580911888706e-05,80.83598133101852,141.79969452085356,142.21639135492973
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,45,118,0.012879209592938423,0.0049899001605808735,0.01786910928785801,0.007889309898018837,5.324700671993729e-05,126.75380634692276,111.92499389098569,109.90587367359257
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,45,265,0.012879209592938423,0.0012401085114106536,0.014119317755103111,0.011639101430773735,3.334764671672995e-05,85.91728802725873,141.64990017357522,156.727802921317
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,46,75,0.012764622457325459,0.008125214837491512,0.02088983729481697,0.004639407619833946,2.6604006630131954e-05,215.54475957768764,95.74033400902672,91.10197966326648
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,46,222,0.012764622457325459,0.0018754958873614669,0.01464011799544096,0.010889126919209957,6.574981562342155e-05,91.83473013881101,136.6109175426047,145.16210261149254
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,46,369,0.012764622457325459,0.0005213411641307175,0.013285963796079159,0.012243281118571758,8.129080214998667e-05,81.67745035441081,150.534809290769,130.34281080183217
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,47,180,0.012577014975249767,0.0027456406969577074,0.015322655439376831,0.009831374511122704,5.379280907792269e-05,101.71517955613052,130.52567667024184,116.51215740213146
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,47,327,0.012577014975249767,0.0007437215535901487,0.013320736587047577,0.011833293363451958,2.9867051617014696e-05,84.50732728131321,150.14184806297473,148.31020450577404
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,48,139,0.012247614562511444,0.004073176067322493,0.016320791095495224,0.008174438029527664,1.7895939076492353e-05,122.332561507258,122.54308295236982,118.3582106020838
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,48,286,0.012247614562511444,0.0010450186673551798,0.01329263299703598,0.011202596127986908,3.0081505240360263e-05,89.26502476380284,150.45927811400747,165.94320428684566
