update,method,alpha,parameter_name,numel,persistence_rel_l2,error_buffer_prev_rel_l2,recurrence_relative_error,momentum_cosine,momentum_relative_l2,gradient_cosine,gradient_relative_l2,direction_cosine,direction_relative_l2,k5_cosine,k5_relative_l2,state_only_k5_cosine,state_only_k5_relative_l2,gradient_only_k5_cosine,gradient_only_k5_relative_l2,local_previous_persistence_k5_cosine,local_previous_persistence_k5_relative_l2
1,alpha1,1.0,transformer.h.1.attn.c_proj.weight,147456,0.06764816492795944,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.1.mlp.c_proj.weight,393216,0.1039201095700264,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.1.mlp.c_proj.weight,393216,0.1039201095700264,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.1.mlp.c_proj.weight,393216,0.1039201095700264,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.1.mlp.w1.weight,393216,0.12002240121364594,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.1.mlp.w1.weight,393216,0.12002240121364594,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.1.mlp.w1.weight,393216,0.12002240121364594,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.1.mlp.w2.weight,393216,0.11535992473363876,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.1.mlp.w2.weight,393216,0.11535992473363876,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.1.mlp.w2.weight,393216,0.11535992473363876,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.2.attn.c_attn.weight,442368,0.06690558046102524,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.2.attn.c_attn.weight,442368,0.06690558046102524,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.2.attn.c_attn.weight,442368,0.06690558046102524,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.2.attn.c_proj.weight,147456,0.06688814610242844,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.2.attn.c_proj.weight,147456,0.06688814610242844,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.2.attn.c_proj.weight,147456,0.06688814610242844,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.2.mlp.c_proj.weight,393216,0.10595105588436127,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.2.mlp.c_proj.weight,393216,0.10595105588436127,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.2.mlp.c_proj.weight,393216,0.10595105588436127,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.2.mlp.w1.weight,393216,0.11207200586795807,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.2.mlp.w1.weight,393216,0.11207200586795807,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.2.mlp.w1.weight,393216,0.11207200586795807,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.2.mlp.w2.weight,393216,0.11166662722826004,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.2.mlp.w2.weight,393216,0.11166662722826004,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.2.mlp.w2.weight,393216,0.11166662722826004,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.3.attn.c_attn.weight,442368,0.0649590715765953,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.3.attn.c_attn.weight,442368,0.0649590715765953,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.3.attn.c_attn.weight,442368,0.0649590715765953,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.3.attn.c_proj.weight,147456,0.0668722614645958,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.3.attn.c_proj.weight,147456,0.0668722614645958,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.3.attn.c_proj.weight,147456,0.0668722614645958,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.3.mlp.c_proj.weight,393216,0.1066843792796135,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.3.mlp.c_proj.weight,393216,0.1066843792796135,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.3.mlp.c_proj.weight,393216,0.1066843792796135,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.3.mlp.w1.weight,393216,0.10785944014787674,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.3.mlp.w1.weight,393216,0.10785944014787674,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.3.mlp.w1.weight,393216,0.10785944014787674,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.3.mlp.w2.weight,393216,0.11033729463815689,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.3.mlp.w2.weight,393216,0.11033729463815689,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.3.mlp.w2.weight,393216,0.11033729463815689,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.4.attn.c_attn.weight,442368,0.06040900945663452,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.4.attn.c_attn.weight,442368,0.06040900945663452,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.4.attn.c_attn.weight,442368,0.06040900945663452,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.4.attn.c_proj.weight,147456,0.06069423258304596,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.4.attn.c_proj.weight,147456,0.06069423258304596,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.4.attn.c_proj.weight,147456,0.06069423258304596,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.4.mlp.c_proj.weight,393216,0.09741654247045517,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.4.mlp.c_proj.weight,393216,0.09741654247045517,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.4.mlp.c_proj.weight,393216,0.09741654247045517,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.4.mlp.w1.weight,393216,0.10554719716310501,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.4.mlp.w1.weight,393216,0.10554719716310501,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.4.mlp.w1.weight,393216,0.10554719716310501,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.4.mlp.w2.weight,393216,0.10632463544607162,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.4.mlp.w2.weight,393216,0.10632463544607162,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.4.mlp.w2.weight,393216,0.10632463544607162,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.5.attn.c_attn.weight,442368,0.057395435869693756,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.5.attn.c_attn.weight,442368,0.057395435869693756,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.5.attn.c_attn.weight,442368,0.057395435869693756,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.5.attn.c_proj.weight,147456,0.055246274918317795,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.5.attn.c_proj.weight,147456,0.055246274918317795,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.5.attn.c_proj.weight,147456,0.055246274918317795,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.5.mlp.c_proj.weight,393216,0.09704641252756119,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.5.mlp.c_proj.weight,393216,0.09704641252756119,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.5.mlp.c_proj.weight,393216,0.09704641252756119,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.5.mlp.w1.weight,393216,0.10837244987487793,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.5.mlp.w1.weight,393216,0.10837244987487793,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.5.mlp.w1.weight,393216,0.10837244987487793,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.5.mlp.w2.weight,393216,0.10496173799037933,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.5.mlp.w2.weight,393216,0.10496173799037933,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.5.mlp.w2.weight,393216,0.10496173799037933,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,alpha0,0.0,transformer.h.0.attn.c_attn.weight,442368,0.03184371441602707,0.036722999066114426,0.0,0.9978867173194885,0.0650906041264534,0.9999991655349731,0.002620076294988394,0.9984731674194336,0.05534357577562332,0.7341668605804443,0.7841305732727051,0.7341553568840027,0.7841523289680481,0.999991238117218,0.004680663347244263,1.0,0.0
8,alpha05,0.5,transformer.h.0.attn.c_attn.weight,442368,0.03348681330680847,0.03841935470700264,9.249467858296612e-09,0.9993489980697632,0.03618619218468666,1.0,0.0014292452251538634,0.9995306134223938,0.030768247321248055,0.8906987309455872,0.48220330476760864,0.8906987905502319,0.4822072684764862,0.9999991059303284,0.0026268770452588797,0.9787629842758179,0.21159401535987854
8,alpha1,1.0,transformer.h.0.attn.c_attn.weight,442368,0.039040785282850266,0.04340621456503868,1.3191013614743952e-08,1.0,1.4836425066278025e-07,1.0,2.1791029780615645e-07,1.0,1.4320744412543718e-07,1.0,2.477318730598199e-06,1.0,2.263637725263834e-06,1.0,1.7486592014392954e-06,0.8769862651824951,0.5156620740890503
8,alpha0,0.0,transformer.h.0.attn.c_proj.weight,147456,0.030944539234042168,0.03517306596040726,0.0,0.9980269074440002,0.06282006949186325,0.9999985694885254,0.0022398352157324553,0.998559832572937,0.05367445573210716,0.7248253226280212,0.8072313666343689,0.7247961163520813,0.8072795867919922,0.9999950528144836,0.003584418911486864,1.0,0.0
8,alpha05,0.5,transformer.h.0.attn.c_proj.weight,147456,0.03269772604107857,0.03685507923364639,9.384298671477609e-09,0.9993863701820374,0.0350724458694458,1.0,0.0011997754918411374,0.9995526075363159,0.02996653877198696,0.8846486806869507,0.49844443798065186,0.8846415281295776,0.49846363067626953,0.9999994039535522,0.00197034259326756,0.97830730676651,0.21460196375846863
8,alpha1,1.0,transformer.h.0.attn.c_proj.weight,147456,0.03784981742501259,0.041755303740501404,1.3347034588662154e-08,1.0,1.42852229600976e-07,1.0,2.238670901988371e-07,1.0,1.3987066438403417e-07,1.0,2.5816339075390715e-06,1.0,2.3522934498032555e-06,1.0,1.8361245111009339e-06,0.8700072765350342,0.5337128043174744
8,alpha0,0.0,transformer.h.0.mlp.c_proj.weight,393216,0.03609766438603401,0.042316604405641556,0.0,0.9968078136444092,0.07996901869773865,1.0,0.0023934447672218084,0.9977132678031921,0.06772805005311966,0.8353576064109802,0.5746513605117798,0.8353516459465027,0.5746626853942871,1.0,0.0032105620484799147,1.0,0.0
8,alpha05,0.5,transformer.h.0.mlp.c_proj.weight,393216,0.038887884467840195,0.04534552991390228,9.523237309849719e-09,0.9989392161369324,0.04629485681653023,1.0,0.0013064434751868248,0.9992414116859436,0.03920963779091835,0.9402745962142944,0.34648430347442627,0.9402767419815063,0.34648099541664124,1.0,0.001770161441527307,0.9882358312606812,0.15340575575828552
8,alpha1,1.0,transformer.h.0.mlp.c_proj.weight,393216,0.04904363676905632,0.05494832992553711,1.3129434428549303e-08,1.0,1.6079167153293383e-07,1.0,2.4553730781917693e-07,1.0,1.5724100421721232e-07,1.0,1.6171538845810574e-06,1.0,1.4727655752722058e-06,1.0,1.1746983545890544e-06,0.9345788359642029,0.36193329095840454
8,alpha0,0.0,transformer.h.0.mlp.w1.weight,393216,0.06236730143427849,0.0713963508605957,0.0,0.9901036024093628,0.14105625450611115,1.0,0.002378597855567932,0.9929771423339844,0.1189451515674591,0.8478789329528809,0.545390784740448,0.8478583693504333,0.5454248189926147,1.0,0.002282977569848299,1.0,0.0
8,alpha05,0.5,transformer.h.0.mlp.w1.weight,393216,0.0703606903553009,0.08071383088827133,1.0161639529826516e-08,0.9962732791900635,0.08714327216148376,1.0,0.0013010072289034724,0.9973509907722473,0.07348500937223434,0.9357823133468628,0.3572289049625397,0.9357773065567017,0.3572407364845276,1.0,0.0012607170501723886,0.9883004426956177,0.15261830389499664
8,alpha1,1.0,transformer.h.0.mlp.w1.weight,393216,0.09922968596220016,0.10821942985057831,1.5150229515370484e-08,1.0,1.624702719027482e-07,1.0,2.456844185871887e-07,1.0,1.580998798544897e-07,1.0,1.3172367516744998e-06,1.0,1.2472512480599107e-06,1.0,1.113086796067364e-06,0.9231382608413696,0.3898269236087799
8,alpha0,0.0,transformer.h.0.mlp.w2.weight,393216,0.06750844419002533,0.07235085219144821,0.0,0.9897609949111938,0.14340612292289734,1.0,0.0023820321075618267,0.9926936030387878,0.12124565988779068,0.8475315570831299,0.5460881590843201,0.8475122451782227,0.5461201071739197,1.0,0.0022663192357867956,1.0,0.0
8,alpha05,0.5,transformer.h.0.mlp.w2.weight,393216,0.07548831403255463,0.08231171220541,1.0283689455548028e-08,0.9961604475975037,0.08842398971319199,1.0,0.0013150916201993823,0.9972543120384216,0.0747625008225441,0.9358039498329163,0.35711178183555603,0.9358019232749939,0.35712024569511414,1.0,0.0012485763290897012,0.9880881309509277,0.15398791432380676
8,alpha1,1.0,transformer.h.0.mlp.w2.weight,393216,0.10129836946725845,0.10979395359754562,1.5518821783189196e-08,1.0,1.6349513032309915e-07,1.0,2.4738531578805123e-07,1.0,1.5910084982806438e-07,1.0,1.3154567568562925e-06,1.0,1.2469715784391155e-06,1.0,1.1101487871201243e-06,0.9223630428314209,0.39170190691947937
8,alpha0,0.0,transformer.h.1.attn.c_attn.weight,442368,0.029765678569674492,0.03333763778209686,0.0,0.9981746673583984,0.060623761266469955,0.9999966025352478,0.0028214710764586926,0.9986402988433838,0.052317745983600616,0.6957934498786926,0.877196729183197,0.6957747340202332,0.877227783203125,0.9999881982803345,0.005002318881452084,1.0,0.0
8,alpha05,0.5,transformer.h.1.attn.c_attn.weight,442368,0.0310982596129179,0.03481859713792801,9.043871429526007e-09,0.9994350075721741,0.03375883027911186,0.9999995827674866,0.0015982360346242785,0.9995799660682678,0.02913505770266056,0.8657552003860474,0.5460115671157837,0.8657527565956116,0.5460179448127747,0.9999972581863403,0.0028164046816527843,0.9760589003562927,0.228303924202919
8,alpha1,1.0,transformer.h.1.attn.c_attn.weight,442368,0.03634592890739441,0.03957822918891907,1.3731151327078805e-08,1.0,1.4261343039834173e-07,1.0,2.2208529060208093e-07,1.0,1.3883487781640724e-07,1.0,2.8616125291591743e-06,1.0,2.6408329176774714e-06,1.0,1.995723550862749e-06,0.849814772605896,0.5845025777816772
8,alpha0,0.0,transformer.h.1.attn.c_proj.weight,147456,0.03061133250594139,0.034436553716659546,0.0,0.9980669021606445,0.06215858832001686,0.9999985098838806,0.002321829553693533,0.9985888004302979,0.05314504727721214,0.6778725981712341,0.9103317856788635,0.6778356432914734,0.9103831648826599,0.9999935626983643,0.004032401833683252,1.0,0.0
8,alpha05,0.5,transformer.h.1.attn.c_proj.weight,147456,0.03219492733478546,0.03613360971212387,9.083851892910388e-09,0.9994019269943237,0.03461339697241783,1.0,0.001270209439098835,0.9995641112327576,0.029594121500849724,0.8552667498588562,0.570891261100769,0.8552533984184265,0.5709183216094971,0.999998927116394,0.0022184415720403194,0.9748271107673645,0.23492206633090973
8,alpha1,1.0,transformer.h.1.attn.c_proj.weight,147456,0.03715381771326065,0.04111673682928085,1.3149173305748718e-08,1.0,1.4326643338335998e-07,1.0,2.169669386375972e-07,1.0,1.3849685842615145e-07,1.0,3.0348699056048645e-06,1.0,2.8365880098135676e-06,1.0,2.0579639112838777e-06,0.837820827960968,0.612453818321228
8,alpha0,0.0,transformer.h.1.mlp.c_proj.weight,393216,0.04014459624886513,0.047944750636816025,0.0,0.9958617687225342,0.09100564569234848,1.0,0.0026147314347326756,0.9971194863319397,0.0759863555431366,0.8311949372291565,0.580155611038208,0.8311886787414551,0.5801659822463989,1.0,0.0034612591844052076,1.0,0.0
8,alpha05,0.5,transformer.h.1.mlp.c_proj.weight,393216,0.04335889592766762,0.051649585366249084,8.990443056688946e-09,0.9986146688461304,0.05287956818938255,1.0,0.0014274530112743378,0.9990362524986267,0.04415256157517433,0.9387460947036743,0.3506162762641907,0.9387471675872803,0.35061097145080566,1.0,0.0019077560864388943,0.9879629015922546,0.15503422915935516
